"counter","timestamp","perfusion_index","heart_rate","hr_quality","energy_expenditure","ee_quality","local_temperature","steps_per_minute","blood_pulse_wave","barometer_temperature","heart_rate_variability","hrv_quality","object_temperature","motion_activity","respiration_rate","rr_quality","activity_classification","ac_quality","gsr_electrode","SpO2","SpO2_quality","barometer_pressure"
"444283","1542749995","0.14","78","61","20.044","100","30.78","0","1.42","29.75","65","53","32.16","0.784314","16","69","9","62","17.2303","0","0","999.7"
"444284","1542749996","0.14","68","61","20.6333","100","30.78","0","1.42","29.75","65","53","32.16","0.784314","16","69","9","61","17.6897","0","0","999.7"
"444285","1542749997","0.14","67","61","20.9343","100","30.78","0","1.36","29.75","65","53","32.16","0.784314","17","69","9","60","18.6723","0","0","999.7"
"444286","1542749998","0.14","67","61","20.6333","100","30.78","0","1.36","29.88","66","53","32.16","0.784314","17","69","9","59","18.161","0","0","1000.1"
"444287","1542749999","0.16","56","63","20.044","100","30.78","0","1.42","29.81","66","53","32.16","0.784314","17","69","9","58","18.161","0","0","1000"
"444288","1542750000","0.16","56","63","20.044","100","30.78","0","1.42","29.75","66","53","32.16","0.784314","17","69","9","57","17.2303","0","0","999.8"
"444289","1542750001","0.16","56","63","20.044","100","30.78","0","1.44","29.94","65","53","32.13","0.784314","16","69","9","56","18.161","0","0","1000.3"
"444290","1542750002","0.16","60","59","20.044","100","30.78","0","1.46","29.75","65","53","32.13","0.784314","16","69","9","56","18.161","0","0","999.9"
"444291","1542750003","0.18","60","80","20.044","100","30.78","0","1.52","29.75","65","53","32.13","0.784314","16","69","9","55","18.6723","0","0","999.7"
"444292","1542750004","0.18","59","80","20.044","100","30.78","0","1.52","29.75","65","53","32.13","0.784314","16","69","9","54","17.2303","0","0","999.6"
"444293","1542750005","0.18","59","78","20.044","100","30.78","0","1.54","29.81","65","53","32.16","0.784314","15","69","9","53","17.6653","0","0","1000"
"444294","1542750006","0.18","60","81","20.044","100","30.78","0","1.64","29.81","65","53","32.13","0.784314","15","69","9","52","17.6653","0","0","1000.1"
"444295","1542750007","0.18","60","79","20.044","100","30.78","0","1.56","29.81","65","53","32.13","0.784314","15","69","9","51","18.6723","0","0","1000"
"444296","1542750008","0.18","68","89","20.044","100","30.78","0","1.64","29.81","65","53","32.13","0.784314","15","69","9","50","18.6723","0","0","1000"
"444297","1542750009","0.2","69","72","20.044","100","30.78","0","1.68","29.81","65","53","32.13","0.784314","15","69","9","49","17.6653","0","0","999.9"
"444298","1542750010","0.2","68","55","20.6333","100","30.78","0","1.7","29.88","65","53","32.13","0.784314","16","68","9","49","17.6897","0","0","1000"
"444299","1542750011","0.2","66","99","20.6333","100","30.78","0","1.74","29.75","65","53","32.13","0.784314","16","68","9","48","17.2303","0","0","999.6"
"444300","1542750012","0.2","60","81","20.044","100","30.78","0","1.74","29.75","65","53","32.13","0.784314","16","68","9","47","18.6723","0","0","999.8"
"444301","1542750013","0.22","60","83","20.044","100","30.78","0","1.74","29.88","65","53","32.16","0.784314","16","68","9","46","17.6653","0","0","1000.1"
"444302","1542750014","0.22","59","66","20.044","100","30.78","0","1.74","29.75","65","53","32.13","3.13725","15","68","9","45","17.2303","0","0","999.7"
"444303","1542750015","0.22","58","67","20.044","100","30.78","0","1.7","29.88","64","53","32.13","2.35294","15","68","9","45","17.6897","0","0","1000.2"
"444304","1542750016","0.22","58","73","20.044","100","30.78","0","1.68","29.69","66","53","32.13","1.96078","15","68","9","44","17.2303","0","0","999.6"
"444305","1542750017","0.22","59","75","20.044","100","30.78","0","1.68","29.81","66","53","32.13","0.784314","15","68","1","44","18.161","0","0","1000"
"444306","1542750018","0.2","60","67","20.044","100","30.78","0","1.64","29.81","66","53","32.16","0.784314","15","68","1","45","18.6437","0","0","1000.2"
"444307","1542750019","0.2","62","92","20.044","100","30.78","0","1.62","29.81","66","53","32.13","0.784314","15","67","1","46","17.6653","0","0","1000"
"444308","1542750020","0.2","61","92","20.044","100","30.78","0","1.62","29.88","66","53","32.13","0.784314","15","67","1","47","18.161","0","0","1000.2"
"444309","1542750021","0.2","61","92","20.044","100","30.78","0","1.62","29.81","66","53","32.13","0.784314","15","67","1","47","18.1083","0","0","999.9"
"444310","1542750022","0.2","61","92","20.044","100","30.78","0","1.62","29.88","66","53","32.16","0.784314","15","67","1","48","18.6723","0","0","1000.2"
"444311","1542750022","0.2","61","92","21.2398","100","30.78","0","1.56","30","68","53","32.16","0.784314","15","67","1","49","17.2303","0","0","1000.4"
"444312","1542750023","0.2","61","92","22.507","100","30.78","0","1.56","30","68","53","32.16","0.784314","15","67","1","50","17.6653","0","0","1000.5"
"444313","1542750024","0.2","61","92","23.1686","100","30.78","0","1.42","29.94","67","53","32.13","0.784314","15","67","1","51","17.6653","0","0","1000.3"
"444314","1542750025","0.2","57","52","27.5676","100","30.78","0","1.4","29.81","67","53","32.09","0.784314","16","67","1","52","18.161","0","0","999.8"
"444315","1542750026","0.2","56","52","31.865","100","30.78","0","1.4","29.94","67","53","32.06","0.784314","15","67","1","52","18.6437","0","0","1000.2"
"444316","1542750027","0.2","56","52","31.865","100","30.78","0","1.38","29.81","67","53","32.06","0.784314","15","67","1","53","18.161","0","0","1000"
"444317","1542750028","0.18","68","76","31.865","100","30.78","0","1.38","29.75","67","53","32.09","0.784314","15","67","1","54","17.6653","0","0","999.8"
"444318","1542750029","0.16","66","72","31.865","100","30.78","0","1.22","29.69","67","53","32.09","0.784314","15","67","1","55","17.6653","0","0","999.6"
"444319","1542750030","0.16","67","72","31.865","100","30.78","0","1.22","29.94","67","53","32.09","1.17647","14","68","1","56","17.6653","0","0","1000.3"
"444320","1542750031","0.12","67","72","31.865","100","30.78","0","1.22","29.75","68","53","32.09","1.17647","14","68","1","56","18.161","0","0","999.7"
"444321","1542750032","0.12","60","58","31.865","100","30.78","0","1.22","29.88","68","53","32.09","1.17647","14","68","1","57","18.161","0","0","1000.1"
"444322","1542750033","0.12","66","78","31.865","100","30.78","0","1.22","29.63","68","53","32.09","0.784314","14","71","1","58","17.6653","0","0","999.4"
"444323","1542750034","0.12","67","84","31.865","100","30.78","0","1.22","29.94","68","53","32.09","1.17647","14","68","1","58","17.2303","0","0","1000.3"
"444324","1542750035","0.12","67","82","31.865","100","30.78","0","1.22","29.75","68","53","32.09","0.784314","14","68","1","59","17.2303","0","0","999.7"
"444325","1542750036","0.12","67","78","31.865","100","30.78","0","1.58","29.81","68","53","32.13","0.784314","14","68","1","60","18.6723","0","0","999.8"
"444326","1542750037","0.16","66","77","31.865","100","30.78","0","2.02","29.88","68","53","32.13","0.784314","14","68","1","60","17.6653","0","0","1000.1"
"444327","1542750038","0.18","66","64","31.865","100","30.78","0","2.06","29.75","68","53","32.09","0.784314","14","68","1","61","17.6653","0","0","999.7"
"444328","1542750039","0.18","67","75","31.865","100","30.78","0","2.62","29.75","67","53","32.09","0.784314","14","68","1","62","17.6653","0","0","999.8"
"444329","1542750040","0.18","71","100","31.865","100","30.78","0","2.62","29.75","67","53","32.09","0.784314","14","68","1","62","18.161","0","0","999.7"
"444330","1542750041","0.18","71","76","31.865","100","30.78","0","2.68","30.06","68","53","32.16","0.784314","13","68","1","63","18.161","0","0","1000.5"
"444331","1542750042","0.18","65","81","31.865","100","30.78","0","2.62","29.81","68","53","32.13","0.784314","13","68","1","64","18.6437","0","0","1000"
"444332","1542750043","0.18","60","59","31.865","100","30.78","0","2.62","29.88","68","53","32.09","0.784314","13","68","1","64","17.2303","0","0","1000.2"
"444333","1542750044","0.18","59","65","31.865","100","30.78","0","2.06","29.88","68","53","32.09","0.784314","13","68","1","65","17.6653","0","0","1000.1"
"444334","1542750045","0.18","59","68","31.865","100","30.78","0","2.62","29.81","68","53","32.09","0.784314","13","68","1","65","17.1853","0","0","999.8"
"444335","1542750046","0.18","58","67","31.865","100","30.78","0","2.62","29.81","68","53","32.09","0.784314","13","68","1","66","18.6723","0","0","999.9"
"444336","1542750047","0.16","61","77","31.865","100","30.78","0","2.06","29.81","68","53","32.13","0.784314","13","68","1","67","17.6653","0","0","999.9"
"444337","1542750048","0.16","60","76","31.865","100","30.78","0","2.06","29.88","68","53","32.09","0.784314","13","68","1","67","17.6653","0","0","1000.1"
"444338","1542750049","0.16","65","93","31.865","100","30.78","0","2.06","29.69","68","53","32.09","0.784314","13","68","1","68","17.6653","0","0","999.6"
"444339","1542750050","0.16","65","92","31.865","100","30.78","0","2.06","29.69","68","53","32.13","0.784314","13","68","1","68","18.161","0","0","999.6"
"444340","1542750051","0.16","64","88","31.865","100","30.78","0","2.06","29.88","68","53","32.13","0.784314","13","68","1","69","18.161","0","0","1000.1"
"444341","1542750052","0.16","62","84","31.865","100","30.78","0","2.06","29.88","67","53","32.09","1.17647","13","68","1","69","18.1083","0","0","1000.1"
"444342","1542750053","0.16","62","85","31.865","100","30.78","0","2.06","29.94","67","53","32.09","0.784314","13","69","1","70","17.1853","0","0","1000.2"
"444343","1542750054","0.16","62","87","31.865","100","30.78","0","2.02","29.88","67","53","32.09","0.784314","13","69","1","70","17.1853","0","0","1000"
"444344","1542750055","0.16","62","87","31.865","100","30.78","0","2.06","29.88","66","53","32.16","0.784314","13","69","1","71","17.6653","0","0","1000.1"
"444345","1542750056","0.16","63","90","31.865","100","30.78","0","2.06","29.81","68","53","32.16","0.784314","13","69","1","71","18.1083","0","0","1000.1"
"444346","1542750057","0.16","64","93","31.865","100","30.78","0","2.06","29.81","68","53","32.13","1.56863","13","69","1","72","18.161","0","0","999.9"
"444347","1542750058","0.16","65","96","31.865","100","30.78","0","2.06","29.81","68","53","32.13","1.17647","13","69","1","72","17.1853","0","0","999.9"
"444348","1542750059","0.16","65","97","31.865","100","30.78","0","2.06","29.81","69","53","32.09","1.17647","13","69","1","73","17.6653","0","0","1000"
"444349","1542750060","0.16","66","99","31.865","100","30.78","0","2.06","29.75","70","53","32.09","1.17647","13","69","1","73","17.6653","0","0","999.8"
"444350","1542750061","0.16","67","95","31.865","100","30.78","0","2.06","29.81","70","53","32.13","1.17647","13","69","1","74","18.1083","0","0","1000"
"444351","1542750062","0.16","70","88","31.865","100","30.78","0","2.06","29.81","70","53","32.13","0.784314","13","69","1","74","17.6653","0","0","999.9"
"444352","1542750063","0.16","68","95","31.865","100","30.78","0","2.02","29.81","70","53","32.13","0.784314","13","69","1","74","17.1853","0","0","999.8"
"444353","1542750064","0.16","67","98","31.865","100","30.78","0","2.3","29.69","70","53","32.06","0.784314","13","69","1","75","17.5923","0","0","999.7"
"444354","1542750065","0.18","66","99","31.865","100","30.78","0","2.3","29.75","71","53","32.06","0.784314","13","69","1","75","17.6653","0","0","999.8"
"444355","1542750066","0.18","66","98","31.865","100","30.78","0","2.3","29.81","71","53","32.06","0.784314","13","69","1","76","18.161","0","0","999.9"
"444356","1542750067","0.18","65","96","31.865","100","30.78","0","2.3","29.88","72","53","32.06","0.784314","12","69","1","76","18.161","0","0","1000"
"444357","1542750068","0.18","65","96","31.865","100","30.81","0","2.3","29.88","72","53","32.22","0.784314","11","68","1","77","17.1853","0","0","1000.1"
"444358","1542750069","0.18","66","82","31.865","100","30.78","0","2.36","29.81","72","53","32.09","1.17647","11","68","1","77","17.6653","0","0","999.9"
"444359","1542750070","0.18","56","62","31.865","100","30.81","0","2.36","29.94","72","53","32.19","0.784314","11","68","1","77","18.1083","0","0","1000.2"
"444360","1542750071","0.18","55","65","31.865","100","30.78","0","2.36","29.81","72","53","32.03","0.784314","11","68","1","78","18.1083","0","0","999.8"
"444361","1542750072","0.18","55","68","31.865","100","30.78","0","2.3","29.81","72","53","31.97","0.784314","11","68","1","78","17.6653","0","0","999.8"
"444362","1542750073","0.18","55","59","31.865","100","30.78","0","2.12","29.81","72","53","31.94","0.784314","11","68","1","78","16.7217","0","0","1000"
"444363","1542750074","0.18","60","77","31.865","100","30.78","0","2.12","29.88","71","53","31.91","0.784314","11","68","1","79","17.5923","0","0","1000.1"
"444364","1542750075","0.18","60","83","31.865","100","30.78","0","2.12","29.88","71","53","31.88","0.784314","11","68","1","79","18.1083","0","0","1000.1"
"444365","1542750076","0.18","61","90","31.865","100","30.78","0","2.12","29.69","72","53","31.91","0.784314","11","68","1","79","18.1083","0","0","999.5"
"444366","1542750077","0.18","62","89","31.865","100","30.78","0","1.86","29.75","72","53","31.97","0.784314","11","68","1","80","18.6437","0","0","1000"
"444367","1542750078","0.18","65","91","31.865","100","30.78","0","1.8","29.94","72","53","32","0.784314","12","68","1","80","17.1853","0","0","1000.3"
"444368","1542750079","0.18","65","93","31.865","100","30.81","0","1.78","30.06","72","53","32.06","0.784314","11","71","1","80","17.5923","0","0","1000.7"
"444369","1542750080","0.18","66","93","31.865","100","30.81","0","1.74","29.81","72","53","32.06","0.784314","11","71","1","81","17.5923","0","0","1000"
"444370","1542750081","0.18","66","92","31.865","100","30.78","0","1.64","29.88","72","53","31.97","0.784314","12","71","1","81","18.1083","0","0","1000.2"
"444371","1542750082","0.18","66","92","31.865","100","30.81","0","1.64","29.81","72","53","32.13","0.784314","12","71","1","81","17.5923","0","0","1000"
"444372","1542750083","0.18","67","90","31.865","100","30.78","0","1.64","29.81","73","53","32","0.784314","12","71","1","82","17.5923","0","0","1000.2"
"444373","1542750084","0.18","67","78","31.865","100","30.81","0","1.64","29.75","73","53","32.16","0.784314","12","71","1","82","16.7217","0","0","999.9"
"444374","1542750085","0.18","65","96","31.865","100","30.78","0","1.64","29.81","73","53","32.03","0.784314","12","71","1","82","17.5923","0","0","1000"
"444375","1542750086","0.18","65","76","31.865","100","30.81","0","1.64","29.94","73","53","32.06","0.784314","11","71","1","83","18.1083","0","0","1000.2"
"444376","1542750087","0.2","63","60","31.865","100","30.81","0","1.74","29.63","73","53","32.09","0.784314","11","71","1","83","18.6437","0","0","999.5"
