"counter","timestamp","perfusion_index","heart_rate","hr_quality","energy_expenditure","ee_quality","local_temperature","steps_per_minute","blood_pulse_wave","barometer_temperature","heart_rate_variability","hrv_quality","object_temperature","motion_activity","respiration_rate","rr_quality","activity_classification","ac_quality","gsr_electrode","SpO2","SpO2_quality","barometer_pressure"
"439376","1542396853","0.14","58","66","20.044","100","26.13","0","1.82","24.88","0","0","25.78","1.96078","0","0","9","50","18.7767","0","0","1012"
"439377","1542396854","0.14","58","66","20.044","100","26.16","0","1.82","24.88","0","0","25.88","3.52941","0","0","9","51","19.881","0","0","1012.1"
"439378","1542396855","0.14","85","65","20.044","100","26.19","0","1.84","24.94","0","0","25.94","6.27451","0","0","9","51","19.305","0","0","1012.2"
"439379","1542396856","0.14","85","65","20.044","100","26.22","0","1.84","24.94","0","0","26.06","9.80392","0","0","9","52","18.7477","0","0","1012.1"
"439380","1542396857","0.14","90","71","20.044","100","26.25","0","1.82","25","0","0","26.06","4.70588","0","0","9","53","18.2623","0","0","1012.2"
"439381","1542396858","0.14","90","71","20.044","100","26.25","0","1.82","25.13","0","0","26","7.05882","0","0","9","54","19.305","0","0","1012.7"
"439382","1542396859","0.14","91","71","20.044","100","26.28","0","1.82","25.13","0","0","26.13","2.7451","0","0","9","53","20.474","0","0","1012.3"
"439383","1542396860","0.14","91","71","20.044","100","26.31","0","1.82","25.25","0","0","26.25","3.92157","0","0","9","52","20.474","0","0","1012.7"
"439384","1542396861","0.14","92","71","20.044","100","26.31","0","1.82","25.25","0","0","26.19","2.7451","0","0","9","51","18.7477","0","0","1012.7"
"439385","1542396862","0.14","93","71","20.044","100","26.34","0","1.84","25.06","0","0","26.31","3.13725","0","0","9","50","18.7477","0","0","1012"
"439386","1542396863","0.12","93","71","20.044","100","26.38","0","1.82","25.19","0","0","26.38","1.96078","0","0","9","50","19.305","0","0","1012.4"
"439387","1542396864","0.12","93","71","33.766","100","26.38","0","1.82","25.19","0","0","26.38","1.56863","0","0","9","49","19.881","0","0","1012.2"
"439388","1542396865","0.08","93","71","47.8053","100","26.41","0","1.6","25.13","0","0","26.47","1.17647","0","0","9","48","19.305","0","0","1012.1"
"439389","1542396866","0","93","71","51.3966","100","26.44","0","0","25.19","0","0","26.53","0.784314","0","0","9","47","19.305","0","0","1012.2"
"439390","1542396867","0","92","71","55.2576","100","26.44","0","0","25.13","0","0","26.53","0.784314","0","0","9","46","18.7477","0","0","1011.8"
"439391","1542396868","0","92","71","56.0639","100","26.47","0","0","25.13","0","0","26.59","0.784314","0","0","9","46","18.7477","0","0","1011.7"
"439392","1542396869","0","91","71","57.712","100","26.5","0","0","25.19","0","0","26.66","0.784314","60","0","9","46","20.9603","0","0","1011.9"
"439393","1542396870","0","91","71","57.712","100","26.5","0","0","25.31","0","0","26.66","0.784314","60","0","9","47","20.9603","0","0","1012.3"
"439394","1542396871","0","90","71","57.712","100","26.53","0","0","25.31","0","0","26.78","0.784314","60","0","9","48","19.745","0","0","1012.1"
"439395","1542396872","0","90","71","57.712","100","26.56","0","0","25.38","0","0","26.84","0.784314","60","0","9","49","19.119","0","0","1012.3"
"439396","1542396873","0","89","71","57.712","100","26.56","0","0","25.38","0","0","26.81","0.784314","60","0","9","50","19.745","0","0","1012.3"
"439397","1542396874","0","89","71","57.712","100","26.59","0","0","25.38","0","0","26.84","0.784314","21","52","9","51","19.745","0","0","1012.3"
"439398","1542396875","0","89","71","57.712","100","26.59","0","0","25.31","0","0","26.78","0.784314","14","68","9","52","20.2523","0","0","1012"
"439399","1542396876","0","89","71","57.712","100","26.63","0","0","25.31","0","0","26.88","0.784314","16","64","9","52","18.6617","0","0","1012"
"439400","1542396877","0","88","71","57.712","100","26.63","0","0","25.44","0","0","26.81","0.784314","16","64","9","53","19.119","0","0","1012.3"
"439401","1542396878","0","88","71","57.712","100","26.66","0","0","25.5","0","0","26.94","0.784314","16","64","9","54","19.119","0","0","1012.5"
"439402","1542396879","0","88","71","57.712","100","26.69","0","0","25.44","0","0","27","0.784314","16","64","9","55","19.745","0","0","1012.2"
"439403","1542396880","0","88","71","56.882","100","26.69","0","0","25.44","0","0","27","0.784314","15","67","9","54","19.745","0","0","1012.1"
