"counter","timestamp","perfusion_index","heart_rate","hr_quality","energy_expenditure","ee_quality","local_temperature","steps_per_minute","blood_pulse_wave","barometer_temperature","heart_rate_variability","hrv_quality","object_temperature","motion_activity","respiration_rate","rr_quality","activity_classification","ac_quality","gsr_electrode","SpO2","SpO2_quality","barometer_pressure"
"379139","1542141507","0.16","77","70","82.9","100","30.31","0","0.9","29.25","52","53","31.66","0.784314","17","61","10","33","16.0887","0","0","1013.4"
"379140","1542141508","0.16","81","63","82.9","100","30.31","0","1.7","29.13","52","53","31.63","1.96078","17","61","10","33","16.0887","0","0","1013.2"
"379141","1542141509","0.16","81","65","82.9","100","30.31","0","1.9","29.19","52","53","31.66","2.7451","17","61","9","33","16.2913","0","0","1013.3"
"379142","1542141510","0.14","78","58","82.9","100","30.31","0","1.96","29.31","52","53","31.66","3.52941","17","61","9","34","16.615","0","0","1013.5"
"379143","1542141510","0.14","81","58","82.9","100","30.31","0","1.96","29.19","52","53","31.66","11.7647","17","61","9","35","16.615","0","0","1013.2"
"379144","1542141511","0.14","81","58","82.9","100","30.31","0","1.96","29.13","52","53","31.66","4.70588","17","61","9","36","16.8383","0","0","1013"
"379145","1542141512","0.14","82","58","82.9","100","30.31","0","1.96","29.19","53","53","31.66","4.70588","17","61","9","36","16.0887","0","0","1013.2"
"379146","1542141513","0","83","58","82.9","100","30.31","0","0","29.19","54","53","31.66","6.27451","17","61","9","35","16.0887","0","0","1013.1"
"379147","1542141514","0.14","96","61","82.9","100","30.31","0","1.96","29.25","54","53","31.66","17.2549","17","61","9","35","16.615","0","0","1013.3"
"379148","1542141515","0.14","93","76","82.9","100","30.31","0","1.96","29.25","54","53","31.63","5.09804","17","61","9","34","16.8383","0","0","1013.6"
"379149","1542141516","0.14","93","69","82.9","100","30.31","0","0.88","29.25","54","53","31.63","3.52941","17","61","9","33","16.4813","0","0","1013.5"
"379150","1542141517","0.18","92","74","73.8282","100","30.31","0","0.96","29.25","54","53","31.66","2.35294","17","61","9","33","15.5923","0","0","1013.3"
"379151","1542141518","0.18","92","79","62.0474","100","30.31","0","0.88","29.25","53","53","31.66","1.17647","15","60","9","32","15.7763","0","0","1013.4"
"379152","1542141519","0.18","91","89","60.2755","100","30.31","0","0.96","29.13","52","53","31.66","2.35294","15","60","9","32","16.2913","0","0","1013.1"
"379153","1542141520","0.18","96","70","60.2755","100","30.31","0","0.96","29.19","52","53","31.69","1.17647","15","60","9","31","16.2913","0","0","1013.3"
"379154","1542141521","0.18","95","61","60.2755","100","30.31","0","1.04","29.31","52","53","31.69","1.17647","15","60","9","31","16.2913","0","0","1013.6"
"379155","1542141522","0.18","94","61","60.2755","100","30.31","0","1.04","29.06","52","53","31.66","0.784314","15","60","9","30","16.2913","0","0","1012.9"
"379156","1542141523","0.18","93","61","60.2755","100","30.31","0","1.04","29.31","52","53","31.63","0.784314","15","60","9","30","15.7763","0","0","1013.4"
"379157","1542141524","0.18","93","61","60.2755","100","30.31","0","1.04","29.19","52","53","31.66","0.784314","15","60","9","29","16.4813","0","0","1013.4"
"379158","1542141525","0.18","79","51","60.2755","100","30.31","0","1.04","29.19","51","53","31.66","0.784314","13","72","10","30","16.2913","0","0","1013.3"
"379159","1542141526","0.18","80","56","60.2755","100","30.31","0","1.54","29.25","51","53","31.63","0.784314","13","72","10","31","16.4813","0","0","1013.5"
"379160","1542141527","0.18","80","59","60.2755","100","30.31","0","1.54","29.31","50","53","31.66","0.784314","14","72","10","32","15.7763","0","0","1013.6"
